Threshold,0.01,0.02,0.03,0.04,0.05,0.06,0.07,0.08,0.09,0.1,0.11,0.12,0.13,0.14,0.15,0.16,0.17,0.18,0.19,0.2,0.21,0.22,0.23,0.24,0.25,0.26,0.27,0.28,0.29,0.3,0.31,0.32,0.33,0.34,0.35,0.36,0.37,0.38,0.39,0.4,0.41,0.42,0.43,0.44,0.45,0.46,0.47,0.48,0.49,0.5,0.51,0.52,0.53,0.54,0.55,0.56,0.57,0.58,0.59,0.6,0.61,0.62,0.63,0.64,0.65,0.66,0.67,0.68,0.69,0.7
0.01,27.7071,27.774,27.694,27.7023,27.7108,27.7972,27.8582,27.9472,28.0528,28.1706,28.3014,28.4232,28.5412,28.6899,28.8993,29.0405,29.2602,29.5225,29.8699,30.2823,30.828,31.5109,32.7667,34.8997,53.8377,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.06,27.7071,27.774,27.694,27.7023,27.7108,27.7972,27.8582,27.9472,28.0528,28.1706,28.3014,28.4232,28.5412,28.6899,28.8993,29.0405,29.2602,29.5225,29.8699,30.2823,30.828,31.5109,32.7667,34.8997,53.8377,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.11,27.7071,27.774,27.694,27.7023,27.7108,27.7972,27.8582,27.9472,28.0528,28.1706,28.3014,28.4232,28.5412,28.6899,28.8993,29.0405,29.2602,29.5225,29.8699,30.2823,30.828,31.5109,32.7667,34.8997,53.8377,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.16,27.7071,27.774,27.694,27.7023,27.7108,27.7972,27.8582,27.9472,28.0528,28.1706,28.3014,28.4232,28.5412,28.6899,28.8993,29.0405,29.2602,29.5225,29.8699,30.2823,30.828,31.5109,32.7667,35.0339,45.7613,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.21,27.7071,27.774,27.694,27.7023,27.7108,27.7972,27.8582,27.9371,28.0528,28.1548,28.3011,28.4514,28.5412,28.6899,28.8993,29.0405,29.297,29.5225,29.8985,30.2823,30.8195,31.5109,32.9941,35.2931,42.0586,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.26,27.7071,27.774,27.694,27.7023,27.712,27.7892,27.8533,27.9497,28.0532,28.1657,28.322,28.4287,28.5567,28.6918,28.8637,29.0751,29.3178,29.5609,29.8583,30.305,30.8448,31.652,32.8782,34.8081,56.9985,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.31,27.7071,27.774,27.694,27.7023,27.712,27.7892,27.8454,27.9497,28.048,28.1657,28.3184,28.4221,28.5512,28.687,28.8821,29.0492,29.2815,29.5485,29.901,30.3426,30.7637,31.4447,32.7095,35.4909,47.5284,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.36,27.7071,27.774,27.6942,27.7003,27.7115,27.789,27.8457,27.9443,28.0542,28.1644,28.3024,28.418,28.5672,28.6688,28.8493,29.0912,29.2566,29.5415,29.9137,30.2833,30.822,31.5193,32.74,34.633,43.167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.41,27.7071,27.774,27.6942,27.7003,27.7109,27.789,27.8572,27.9398,28.0529,28.1535,28.3227,28.4136,28.5582,28.7004,28.8759,29.1121,29.2804,29.5962,29.8998,30.3463,30.8475,31.4348,32.6004,34.9064,41.0341,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.46,27.7071,27.774,27.6942,27.7003,27.7109,27.789,27.8572,27.9398,28.0585,28.1649,28.3049,28.4564,28.5678,28.6806,28.8716,29.06,29.3361,29.551,29.9173,30.3532,30.8223,31.5016,33.364,35.5729,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.51,27.7071,27.7745,27.6921,27.7001,27.7106,27.791,27.8437,27.9423,28.043,28.1586,28.3018,28.4292,28.5598,28.6824,28.8621,29.0954,29.26,29.5651,29.9749,30.2772,31.0385,32.0739,34.499,42.0116,258.892,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.56,27.7071,27.7745,27.6921,27.7001,27.7106,27.791,27.8437,27.9423,28.043,28.1586,28.3018,28.4292,28.558,28.7045,28.8853,29.0642,29.3287,29.6105,29.8911,30.4806,31.2033,32.9922,37.0176,44.0384,314.148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.61,27.7071,27.7745,27.6921,27.7001,27.7106,27.791,27.8543,27.9349,28.0431,28.1673,28.3147,28.4324,28.5597,28.6685,28.8743,29.0646,29.3265,29.6026,30.0251,30.8817,31.2972,33.569,36.5031,88.1982,323.578,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.66,27.7071,27.7745,27.6921,27.7001,27.7106,27.791,27.8543,27.9349,28.0431,28.1706,28.3147,28.4325,28.5506,28.6895,28.873,29.0696,29.3363,29.5923,30.2352,31.2106,32.7247,33.6397,38.086,129.912,448.823,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

