Routing Function,0.01,0.02,0.03,0.04,0.05,0.06,0.07,0.08,0.09,0.1,0.11,0.12,0.13,0.14,0.15,0.16,0.17,0.18,0.19,0.2,0.21,0.22,0.23,0.24,0.25,0.26,0.27,0.28,0.29,0.3,0.31,0.32,0.33,0.34,0.35,0.36,0.37,0.38,0.39,0.4,0.41,0.42,0.43,0.44,0.45,0.46,0.47,0.48,0.49,0.5,0.51,0.52,0.53,0.54,0.55,0.56,0.57,0.58,0.59,0.6,0.61,0.62,0.63,0.64,0.65,0.66,0.67,0.68,0.69,0.7
Custom,26.8487,27.031,26.886,27.0215,27.0241,27.0928,27.2365,27.1794,27.2155,27.1987,27.1362,27.3239,27.3502,27.5014,27.5731,27.5922,27.6636,27.6103,27.6987,27.7941,27.927,27.9789,28.1723,28.1666,28.2297,28.4362,28.579,28.6953,28.7722,29.1167,29.4873,29.5612,29.9271,30.405,30.7424,31.5165,32.2624,33.4277,35.3306,37.3993,73.2366,107.383,261.758,465.777,,,,,,,,,,,,,,,,,,,,,,,,,,
DOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
